name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Cano, Yennier",666974,2023,283,202,0.226,0.248,-0.022,0.331,0.355,-0.024,0.261,0.281,-0.02,2.11,3.28,-1.174
"Varland, Louie",686973,2023,283,194,0.252,0.249,0.003,0.492,0.469,0.023,0.335,0.328,0.007,4.63,4.58,0.052
"García, Yimi",554340,2023,282,182,0.261,0.236,0.025,0.405,0.364,0.041,0.312,0.289,0.023,4.09,3.48,0.611
"Graveman, Kendall",608665,2023,282,174,0.214,0.234,-0.02,0.37,0.382,-0.012,0.312,0.328,-0.016,3.12,4.58,-1.459
"Estévez, Carlos",608032,2023,281,167,0.254,0.234,0.02,0.381,0.381,0,0.32,0.311,0.009,3.9,4.07,-0.172
"Doval, Camilo",666808,2023,281,160,0.209,0.203,0.006,0.287,0.303,-0.016,0.262,0.265,-0.003,2.93,2.91,0.016
"Kaprielian, James",621076,2023,280,186,0.274,0.245,0.029,0.452,0.426,0.026,0.356,0.337,0.019,6.34,4.86,1.484
"Cruz, Fernando",518585,2023,279,150,0.211,0.204,0.007,0.366,0.362,0.004,0.29,0.288,0.002,4.91,3.45,1.459
"Topa, Justin",623437,2023,279,197,0.24,0.231,0.009,0.327,0.32,0.007,0.269,0.268,0.001,2.61,2.97,-0.361
"Kimbrel, Craig",518886,2023,278,152,0.181,0.192,-0.011,0.337,0.338,-0.001,0.269,0.281,-0.012,3.26,3.28,-0.019
"López, Reynaldo",625643,2023,278,159,0.207,0.216,-0.009,0.336,0.383,-0.047,0.286,0.309,-0.023,3.27,4.01,-0.737
"Johnson, Pierce",572955,2023,277,157,0.257,0.235,0.022,0.437,0.378,0.059,0.335,0.305,0.03,4.02,3.9,0.121
"Bednar, David",670280,2023,277,173,0.215,0.196,0.019,0.316,0.319,-0.003,0.259,0.262,-0.003,2,2.84,-0.835
"Kelly, Kevin",687330,2023,276,195,0.211,0.233,-0.022,0.307,0.331,-0.024,0.264,0.282,-0.018,3.09,3.3,-0.21
"Foley, Jason",671345,2023,276,205,0.251,0.263,-0.012,0.34,0.382,-0.042,0.275,0.299,-0.024,2.61,3.74,-1.131
"Urquidy, José",664353,2023,275,203,0.263,0.259,0.004,0.453,0.425,0.028,0.34,0.332,0.008,5.29,4.7,0.586
"Liberatore, Matthew",669461,2023,275,199,0.274,0.289,-0.015,0.444,0.484,-0.04,0.341,0.369,-0.028,5.25,6,-0.746
"Ramírez, Erasmo",541640,2023,274,214,0.328,0.292,0.036,0.52,0.493,0.027,0.372,0.351,0.021,6.41,5.34,1.074
"Maton, Phil",664208,2023,274,166,0.207,0.192,0.015,0.333,0.324,0.009,0.284,0.275,0.009,3,3.14,-0.14
